FIELD ID     MNEMONIC                            DESCRIPTION                             
-----------  -----------                         -----------                             
RQ002        BID                                 Bid Price - Realtime                    
RQ004        ASK                                 Ask Price - Realtime                    
RQ008        LOW                                 Low Price - Realtime                    
RQ007        HIGH                                High Price - Realtime                   
RQ029        YEST_LAST_TRADE                     Yesterday Last Trade                    
RQ006        OPEN                                Open Price - Realtime                   
RQ174        BID_ALL_SESSION                     Bid Price All Session                   
RQ175        ASK_ALL_SESSION                     Ask Price All Session                   
RQ013        VOLUME                              Volume - Realtime                       
RQ930        DYNAMIC_SHORT_SALE_CODE_RT          Dynamic Short Sale Code - Realtime      
RQ309        UNDL_PX_AT_OPT_TRADE_RT             Underlying Price at Last Option Trade (Realtime)
RQ089        THEO_PRICE                          Theoretical Price                       
RQ501        LAST_UPDATE_BID_RT                  Time Of Bid Update (Realtime)           
RQ502        LAST_UPDATE_ASK_RT                  Time Of Ask Update (Realtime)           
RQ483        LAST_PRICE_AM_SESSION               Last Price AM Session                   
RQ173        PREV_CLOSE_VALUE_REALTIME           Previous Closing Value                  
RQ618        PX_SETTLE_LAST_DT_RT                Date of Last Settlement Price Real Time 
RQ819        LAST_PRICE_COND_CODE_RT             Last Price Condition Code (Realtime)    
ZZ0027       LAST_TRADE                          Last Trade                              
RQ047        PX_EVAL_JAPANESE_REALTIME           Japanese Evaluation Price Realtime      
RQ181        RT_SIMP_SEC_STATUS                  Simplified Security Status - Realtime   
RQ484        LAST_PRICE_PM_SESSION               Last Price PM Session                   
RQ084        ORDER_IMB_SELL_VOLUME               Imbalance Sell Volume                   
RQ083        ORDER_IMB_BUY_VOLUME                Imbalance Buy Volume                    
RQ429        PX_OFFICIAL_CLOSE_RT                Official Closing Price (Realtime)       
RQ604        LAST_SENDERS_FIRM_RT                Last Sender's Firm (Real-time)          
RQ498        TRADE_BROKER_CODE                   Trade Broker Code                       
Q1833        LAST_PRICE_TIME_TODAY_REALTIME      Last Price Time Today Realtime          
RQ081        IMBALANCE_BUY                       Imbalance Buy Price                     
RQ082        IMBALANCE_SELL                      Imbalance Sell Price                    
RQ861        NOMINAL_PRICE_RT                    Nominal Price (Realtime)                
RQ492        PX_SETTLE_INTRADAY_REALTIME         Intraday Settlement (Realtime)          
RQ878        PRIMARY_MARKET_CLOSING_PRICE_RT     Closing Price on the Primary Market Realtime
RQ830        LAST_TRADE_YIELD_RT                 Last Trade Yield (Realtime)             
Q1834        LAST_TRADE_PRICE_TIME_TODAY_RT      Last Trade Price Time Today Realtime    
Q1141        LAST_TRADE_PRICE_TODAY_RT           Last Trade Price Today - Realtime       
RQ619        ACT_TIME_LAST_SETTLE_RECEIVED_RT    Actual Time Last Settlement Received Real Time
RQ615        VOLUME_UNSCALED_RT                  Volume Unscaled (Realtime)              
RQ678        PX_LOW_BID_RT                       Low Bid Price (Realtime)                
RQ690        PX_HIGH_BID_RT                      High Bid Price (Realtime)               
